날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-22,한화오션,61,22,12,95,0.7349397501814489,0.2650602377703586,0.1103006144667566,0.0027439216134408,0.0
2024-01-23,HD한국조선해양,21,5,4,30,0.8076922766272201,0.1923076849112429,0.0758593869854427,0.0292319080410868,0.0
2024-01-23,HD현대마린솔루션,8,2,0,10,0.7999999200000081,0.199999980000002,0.0,0.0,0.0
2024-01-23,HD현대미포,1,2,2,5,0.3333332222222592,0.6666664444445185,0.0,0.0670103125200061,0.0
2024-01-23,HD현대중공업,19,11,5,35,0.6333333122222229,0.3666666544444448,0.0498112419040508,0.0237269498051789,0.0
2024-01-23,STX엔진,0,0,1,1,0.0,0.0,0.0,0.0,0.0
2024-01-23,삼성중공업,15,7,6,28,0.6818181508264477,0.3181818037190089,0.0942501816928903,0.0098896112824812,0.0
2024-01-23,세진중공업,0,1,1,2,0.0,0.999999000001,0.0,0.0,0.0
2024-01-23,한국카본,2,0,1,3,0.99999950000025,0.0,0.0,0.0,0.0
2024-01-23,한화엔진,4,3,1,8,0.57142848979593,0.4285713673469475,0.053827902420953,0.0389803621782864,0.0
2024-01-23,한화오션,15,8,6,29,0.6521738846880919,0.347826071833649,0.0652411820618148,0.0,0.0
2024-01-24,HD한국조선해양,19,6,2,27,0.7599999696000012,0.2399999904000003,0.0185145646289252,0.0367045554106971,0.0
2024-01-24,HD현대마린솔루션,7,1,0,8,0.8749998906250137,0.1249999843750019,0.0,0.0,0.0
2024-01-24,HD현대미포,9,1,2,12,0.8999999100000091,0.099999990000001,0.0410543385315444,0.0597507695505579,0.0
2024-01-24,HD현대중공업,38,9,4,51,0.8085106210955187,0.191489357627886,0.0146849509756278,0.0405800108998748,0.0
2024-01-24,STX엔진,2,0,0,2,0.99999950000025,0.0,0.0,0.0,0.0
2024-01-24,삼성중공업,14,6,4,24,0.6999999650000017,0.2999999850000007,0.0294956752979819,0.0,0.0
2024-01-24,세진중공업,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-24,한국카본,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-24,한화엔진,8,2,0,10,0.7999999200000081,0.199999980000002,0.0686483158877655,0.0,0.0
2024-01-24,한화오션,33,7,9,49,0.8249999793750006,0.1749999956250001,0.0308457419789919,0.0063493137448731,0.0
2024-01-25,HD한국조선해양,10,7,0,17,0.588235259515573,0.4117646816609011,0.0582007120178517,0.0202100033256854,0.0
2024-01-25,HD현대마린솔루션,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-25,HD현대미포,7,2,0,9,0.7777776913580343,0.2222221975308669,0.0,0.0792180239965736,0.0
2024-01-25,HD현대중공업,19,7,1,27,0.7307692026627229,0.26923075887574,0.0369120338373224,0.0264060079988578,0.0
2024-01-25,삼성중공업,7,6,3,16,0.5384614970414233,0.4615384260355057,0.0125233338575776,0.0408067974930386,0.0
2024-01-25,세진중공업,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
